,position,song,artist,popularity,duration_ms,album_type,release_date
0,1,Supernova,Saiko,84,190909,single,2023-04-19
1,2,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
2,3,Acróstico,Shakira,81,170785,single,2023-05-11
3,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
4,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
5,6,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
6,7,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
7,8,Clavaito,Chanel & Abraham Mateo,78,162740,single,2023-04-27
8,9,TQG,KAROL G,96,197933,album,2023-02-24
9,10,Yandel 150,Yandel,90,216148,album,2023-01-13
10,11,Nochentera,Vicco,81,202184,single,2022-12-19
11,12,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
12,13,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
13,14,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
14,15,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
15,16,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
16,17,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
17,18,WANDA,Quevedo,87,160909,album,2023-01-20
18,19,Cupido,TINI,84,174369,album,2023-02-16
19,20,Los Ángeles,Aitana,84,158483,single,2023-03-29
20,21,Tattoo,Loreen,89,183374,single,2023-02-25
21,22,Si La Calle Llama - Remix,Eladio Carrion,87,240000,album,2023-03-17
22,23,Ella Baila Sola,Eslabon Armado,89,165671,album,2023-04-28
23,24,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
24,25,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
25,26,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
26,27,PUNTO G,Quevedo,86,151324,album,2023-01-20
27,28,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,2023-03-23
28,29,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
29,30,Hey Mor,Ozuna,91,196600,album,2022-10-07
30,31,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
31,32,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
32,33,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,2023-01-11
33,34,un x100to,Grupo Frontera & Bad Bunny,99,194563,single,2023-04-17
34,35,Polaris,Saiko,78,192122,single,2022-08-26
35,36,La Fiesta,Pedro Capó,71,201044,album,2022-12-02
36,37,Cha Cha Cha,Käärijä,86,175161,single,2023-01-17
37,38,Arranca (feat. Omega),Becky G & Omega,82,166529,single,2023-03-10
38,39,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,76,215600,single,2023-05-12
39,40,Andando,Morad,67,261713,album,2023-05-12
40,41,RÁPIDO,Mora,81,182857,single,2023-04-27
41,42,La Jumpa,Arcángel,87,255693,album,2022-12-01
42,43,MEMORIAS,Mora,82,228750,album,2022-04-01
43,44,Paz,Morad,63,186000,album,2023-05-12
44,45,T'as peur,Aya Nakamura,70,215284,album,2023-01-27
45,46,MI DROGA,Myke Towers,81,163240,album,2023-03-23
46,47,No Estuviste En Lo Malo,Morad,67,247680,album,2023-05-12
47,48,Flowers,Miley Cyrus,91,200600,album,2023-03-10
49,50,REMIX EXCLUSIVO,Feid,88,206946,single,2023-03-17
50,1,Acróstico,Shakira,83,170785,single,2023-05-11
51,2,Supernova,Saiko,84,190909,single,2023-04-19
52,3,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
53,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
54,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
55,6,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
56,7,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
57,8,Clavaito,Chanel & Abraham Mateo,78,162740,single,2023-04-27
58,9,TQG,KAROL G,96,197933,album,2023-02-24
59,10,Yandel 150,Yandel,90,216148,album,2023-01-13
60,11,Nochentera,Vicco,81,202184,single,2022-12-19
61,12,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
62,13,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
63,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
64,15,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
65,16,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
66,17,Cupido,TINI,84,174369,album,2023-02-16
67,18,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
68,19,WANDA,Quevedo,87,160909,album,2023-01-20
69,20,Si La Calle Llama - Remix,Eladio Carrion,87,240000,album,2023-03-17
70,21,Los Ángeles,Aitana,84,158483,single,2023-03-29
71,22,Ella Baila Sola,Eslabon Armado,89,165671,album,2023-04-28
72,23,Tattoo,Loreen,90,183374,single,2023-02-25
73,24,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
74,25,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
75,26,Mi Nena Remix,Maikel Delacalle & Quevedo,82,220000,single,2023-03-23
76,27,PUNTO G,Quevedo,86,151324,album,2023-01-20
77,28,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,77,215600,single,2023-05-12
78,29,Que te vaya bien,Rvfv,77,204960,single,2023-04-21
79,30,Hey Mor,Ozuna,91,196600,album,2022-10-07
80,31,Antes,Rvfv & Edu García,79,153684,single,2023-03-10
81,32,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira,95,214945,single,2023-01-11
82,33,"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo,93,198937,single,2022-07-06
83,34,Andando,Morad,69,261713,album,2023-05-12
84,35,La Fiesta,Pedro Capó,73,201044,album,2022-12-02
85,36,CHORRITO PA LAS ANIMAS,Feid,91,168133,single,2022-12-02
86,37,un x100to,Grupo Frontera & Bad Bunny,100,194563,single,2023-04-17
87,38,Polaris,Saiko,78,192122,single,2022-08-26
88,39,Arranca (feat. Omega),Becky G & Omega,83,166529,single,2023-03-10
89,40,La Jumpa,Arcángel,87,255693,album,2022-12-01
90,41,MEMORIAS,Mora,82,228750,album,2022-04-01
91,42,RÁPIDO,Mora,81,182857,single,2023-04-27
92,43,Cha Cha Cha,Käärijä,87,175161,single,2023-01-17
93,44,Flowers,Miley Cyrus,91,200600,album,2023-03-10
94,45,T'as peur,Aya Nakamura,70,215284,album,2023-01-27
96,47,Paz,Morad,65,186000,album,2023-05-12
97,48,REMIX EXCLUSIVO,Feid,88,206946,single,2023-03-17
98,49,No Estuviste En Lo Malo,Morad,68,247680,album,2023-05-12
99,50,MI DROGA,Myke Towers,80,163240,album,2023-03-23
100,1,Acróstico,Shakira,85,170785,single,2023-05-11
101,2,Supernova,Saiko,84,190909,single,2023-04-19
102,3,EL TONTO,Lola Indigo,83,187986,album,2023-04-13
103,4,BESO,ROSALÍA & Rauw Alejandro,96,194543,single,2023-03-24
104,5,El Merengue,Marshmello & Manuel Turizo,91,189668,single,2023-03-03
105,6,Mami Chula,Jhayco & Quevedo,85,220600,single,2023-04-28
106,7,Classy 101,Feid & Young Miko,95,195986,single,2023-03-31
107,8,Clavaito,Chanel & Abraham Mateo,79,162740,single,2023-04-27
108,9,TQG,KAROL G,96,197933,album,2023-02-24
109,10,Yandel 150,Yandel,90,216148,album,2023-01-13
110,11,Nochentera,Vicco,81,202184,single,2022-12-19
111,12,Todo Contigo,Álvaro De Luna,78,165527,single,2023-03-17
112,13,Niña Bonita,Feid & Sean Paul,88,187653,single,2023-04-21
113,14,La Bebe - Remix,Yng Lvcas & Peso Pluma,99,234352,single,2023-03-17
114,15,Rara Vez,Taiu & Milo j,92,128677,single,2023-02-08
115,16,PLAYA DEL INGLÉS,Quevedo,84,237525,album,2023-01-20
116,17,Cupido,TINI,84,174369,album,2023-02-16
117,18,Coco Chanel,Eladio Carrion,92,208125,album,2023-03-17
118,19,WANDA,Quevedo,87,160909,album,2023-01-20
119,20,Si La Calle Llama - Remix,Eladio Carrion,86,240000,album,2023-03-17
120,21,Los Ángeles,Aitana,84,158483,single,2023-03-29
121,22,Ella Baila Sola,Eslabon Armado,90,165671,album,2023-04-28
122,23,La Bachata,Manuel Turizo,86,162637,album,2023-03-17
123,24,MERCHO,LiL CaKe & Migrantes,90,161451,single,2022-12-16
124,25,VAGABUNDO,Sebastian Yatra & Manuel Turizo & Beéle,78,215600,single,2023-05-12
